type,time,frames, nrLights
Def,0.359842,2779,12
Def,0.303859,3291,12
Def,0.309693,3229,12
Def,0.30722,3255,12
Def,0.309215,3234,12
Def,0.307977,3247,12
Def,0.307409,3253,12
Def,0.306843,3259,12
Def,0.307692,3250,12
Def,0.309119,3235,12
Def,0.30248,3306,12
Def,0.29994,3334,12
Def,0.311915,3206,12
Def,0.301023,3322,12
Def,0.309789,3228,12
Def,0.307409,3253,12
Def,0.310559,3220,12
Def,0.311429,3211,12
Def,0.311139,3214,12
Def,0.309119,3235,12
Def,0.309023,3236,12
Def,0.299401,3340,12
Def,0.308356,3243,12
Def,0.312305,3202,12
Def,0.311236,3213,12
Def,0.304136,3288,12
Def,0.302115,3310,12
Def,0.304507,3284,12
Def,0.308071,3246,12
Def,0.305344,3275,12
Def,0.311042,3215,12
Def,0.306185,3266,12
Def,0.311526,3210,12
Def,0.308737,3239,12
Def,0.307125,3256,12
